127.0.0.1, 2023-03-11 15:55:31, GET, /runestone/static/css/html4css1.css, HTTP/1.1, 200, 0.000971
127.0.0.1, 2023-03-11 15:55:31, GET, /runestone/static/js/superfish.js, HTTP/1.1, 200, 0.000536
127.0.0.1, 2023-03-11 15:55:31, GET, /runestone/static/js/jquery.datetimepicker.full.min.js, HTTP/1.1, 200, 0.000580
127.0.0.1, 2023-03-11 15:55:31, GET, /runestone/static/js/admin.js, HTTP/1.1, 200, 0.000444
127.0.0.1, 2023-03-11 15:55:31, GET, /runestone/static/images/RAIcon.png, HTTP/1.1, 304, 0.001221
127.0.0.1, 2023-03-11 15:55:31, POST, /runestone/ajax/set_tz_offset, HTTP/1.1, 200, 0.064561
127.0.0.1, 2023-03-11 15:55:36, GET, /runestone/admin/assignments, HTTP/1.1, 200, 0.151315
127.0.0.1, 2023-03-11 15:55:36, GET, /ns/books/published/overview/_static/637.0fa6cababf056764.css, HTTP/1.1, 404, 0.000382
127.0.0.1, 2023-03-11 15:55:37, GET, /ns/books/published/overview/_static/runestone.3eb60bc006ae9a54.css, HTTP/1.1, 404, 0.000125
127.0.0.1, 2023-03-11 15:55:37, GET, /ns/books/published/overview/_static/runestone.ecc6dff5cad8b815.bundle.js, HTTP/1.1, 404, 0.000424
127.0.0.1, 2023-03-11 15:55:37, GET, /ns/books/published/overview/_static/runtime.0d64a5199ae36cbe.bundle.js, HTTP/1.1, 404, 0.000311
127.0.0.1, 2023-03-11 15:55:37, GET, /ns/books/published/overview/_static/637.d54be67956c5c660.bundle.js, HTTP/1.1, 404, 0.000392
127.0.0.1, 2023-03-11 15:55:37, GET, /runestone/static/js/jstree_themes/proton/style.min.css, HTTP/1.1, 200, 0.000495
127.0.0.1, 2023-03-11 15:55:37, GET, /runestone/static/js/bootstrap-table/bootstrap-table.min.css, HTTP/1.1, 200, 0.001049
127.0.0.1, 2023-03-11 15:55:37, GET, /runestone/static/js/jstree.min.js, HTTP/1.1, 200, 0.001708
127.0.0.1, 2023-03-11 15:55:37, GET, /runestone/static/js/bootstrap-table/bootstrap-editable/css/bootstrap-editable.css, HTTP/1.1, 200, 0.001332
127.0.0.1, 2023-03-11 15:55:37, GET, /runestone/static/js/bootstrap-table/bootstrap-table-en-US.min.js, HTTP/1.1, 200, 0.001095
127.0.0.1, 2023-03-11 15:55:37, GET, /runestone/static/js/bootstrap-table/bootstrap-table-reorder-rows.css, HTTP/1.1, 200, 0.001525
